Id,KeyText,AddedOn,IsChecked,GroupName,GroupId,BaseFrequency,QuoteFrequency,QuotePointFrequency,KEI
783,самогон,2022-11-30 16:32:26.9581727,0,Самогон,1,1095996,,,
784,рецепт самогона,2022-11-30 16:32:26.9771292,0,Самогон,1,142914,,,
785,домашние самогоны,2022-11-30 16:32:26.979115,0,Самогон,1,138538,,,
786,самогон в домашних условиях,2022-11-30 16:32:26.9801124,0,Самогон,1,115888,,,
120,калькулятор самогонщика,2020-10-30 16:33:04.9705886,0,Главная,4,115772,71215,71143,2.84
787,настойки на самогоне,2022-11-30 16:32:26.9811097,0,Самогон,1,99372,,,
788,самогон сколько,2022-11-30 16:32:26.9821063,0,Самогон,1,71532,,,
789,брага для самогона,2022-11-30 16:32:26.9821063,0,Самогон,1,60748,,,
790,перегонка самогона,2022-11-30 16:32:26.9821063,0,Самогон,1,54867,,,
791,рецепты самогона в домашних,2022-11-30 16:32:26.9821063,0,Самогон,1,54269,,,
792,рецепты самогона в домашних условиях,2022-11-30 16:32:26.9821063,0,Самогон,1,51298,,,
793,литр самогона,2022-11-30 16:32:26.9831082,0,Самогон,1,49777,,,
794,сахаров самогон,2022-11-30 16:32:26.9831082,0,Самогон,1,48907,,,
795,дрожжи для самогона,2022-11-30 16:32:26.9831082,0,Самогон,1,44626,,,
796,купить самогон,2022-11-30 16:32:26.9841007,0,Самогон,1,43983,,,
797,самогон вторая,2022-11-30 16:32:26.9851025,0,Самогон,1,38915,,,
798,самогон можно,2022-11-30 16:32:26.9851025,0,Самогон,1,38544,,,
799,настой самогона,2022-11-30 16:32:26.9851025,0,Самогон,1,37353,,,
800,какой самогон,2022-11-30 16:32:26.9851025,0,Самогон,1,33257,,,
801,очистка самогона,2022-11-30 16:32:26.9851025,0,Самогон,1,33233,,,
802,лучший самогон,2022-11-30 16:32:26.9860958,0,Самогон,1,32632,,,
803,калькулятор самогона,2022-11-30 16:32:26.9860958,0,Самогон,1,32601,,,
804,рецепты настоек на самогоне,2022-11-30 16:32:26.9860958,0,Самогон,1,32042,,,
805,разбавление самогона,2022-11-30 16:32:26.9860958,0,Самогон,1,30510,,,
806,как сделать самогон,2022-11-30 16:32:26.9870932,0,Самогон,1,29327,,,
807,самогон из сахара,2022-11-30 16:32:26.9870932,0,Самогон,1,28930,,,
808,самогон градус,2022-11-30 16:32:26.9870932,0,Самогон,1,27441,,,
809,дубовый самогон,2022-11-30 16:32:26.9880896,0,Самогон,1,27188,,,
121,калькулятор самогонщика онлайн,2020-10-30 16:33:04.9735809,0,Главная,4,27127,19815,19781,3.19
810,вторая перегонка самогона,2022-11-30 16:32:26.9910821,0,Самогон,1,26234,,,
811,сколько литров самогона,2022-11-30 16:32:26.9910821,0,Самогон,1,26079,,,
812,правильный самогон,2022-11-30 16:32:26.992097,0,Самогон,1,25682,,,
813,после самогона,2022-11-30 16:32:26.9931071,0,Самогон,1,24400,,,
814,можно ли самогон,2022-11-30 16:32:26.9940945,0,Самогон,1,22409,,,
815,гонит самогон,2022-11-30 16:32:26.9950848,0,Самогон,1,22402,,,
816,гоним самогон,2022-11-30 16:32:26.9950848,0,Самогон,1,22402,,,
817,коньяк из самогона,2022-11-30 16:32:26.9950848,0,Самогон,1,22238,,,
818,приготовление самогона,2022-11-30 16:32:26.9960695,0,Самогон,1,22159,,,
819,разбавление самогона водой,2022-11-30 16:32:26.9960695,0,Самогон,1,21349,,,
820,запах самогона,2022-11-30 16:32:26.9960695,0,Самогон,1,21180,,,
821,перегон самогона,2022-11-30 16:32:26.9960695,0,Самогон,1,20566,,,
822,самогон из сахара и дрожжей,2022-11-30 16:32:26.9960695,0,Самогон,1,19893,,,
823,калькулятор разбавления самогона,2022-11-30 16:32:26.9960695,0,Самогон,1,19786,,,
824,настойки на самогоне в домашних,2022-11-30 16:32:26.997067,0,Самогон,1,19766,,,
825,калькулятор самогон вода,2022-11-30 16:32:26.997067,0,Самогон,1,18883,,,
670,калькулятор спирта,2020-10-30 16:39:24.8309692,0,калькулятор абсолютного спирта,19,18787,1729,1647,1.26
126,калькулятор самогона,2020-10-30 16:36:51.8064683,0,Главная,4,18710,506,450,1.07
826,настойки на самогоне в домашних условиях,2022-11-30 16:32:26.997067,0,Самогон,1,18303,,,
827,самогон рецепты приготовления,2022-11-30 16:32:26.997067,0,Самогон,1,17870,,,
828,самогон без,2022-11-30 16:32:26.997067,0,Самогон,1,17789,,,
829,самогонщики самогон,2022-11-30 16:32:26.9980671,0,Самогон,1,17737,,,
830,3 самогона,2022-11-30 16:32:26.9980671,0,Самогон,1,17524,,,
831,очистка самогона углем,2022-11-30 16:32:26.9980671,0,Самогон,1,16179,,,
832,как очистить самогон,2022-11-30 16:32:26.9990616,0,Самогон,1,16176,,,
833,домашний коньяк из самогона,2022-11-30 16:33:43.1518408,0,Самогон,1,15988,,,
834,самогон пропорции,2022-11-30 16:33:43.1528377,0,Самогон,1,15943,,,
835,температура самогона,2022-11-30 16:33:43.1538345,0,Самогон,1,15087,,,
836,самогон калькулятор самогонщика,2022-11-30 16:33:43.1538345,0,Самогон,1,14997,,,
837,головы самогона,2022-11-30 16:33:43.1538345,0,Самогон,1,14927,,,
838,рецепт браги для самогона,2022-11-30 16:33:43.1538345,0,Самогон,1,14906,,,
839,брага для самогона из сахара,2022-11-30 16:33:43.1548325,0,Самогон,1,14836,,,
840,лучший рецепт самогона,2022-11-30 16:33:43.1548325,0,Самогон,1,14503,,,
841,кокосовый самогон,2022-11-30 16:33:43.1548325,0,Самогон,1,14466,,,
842,самогон на кедровых,2022-11-30 16:33:43.1548325,0,Самогон,1,14245,,,
843,калькулятор самогонщика разбавление самогона,2022-11-30 16:33:43.1558306,0,Самогон,1,13867,,,
844,калькулятор разбавления самогона водой,2022-11-30 16:33:43.1558306,0,Самогон,1,13793,,,
845,самогон виноградов,2022-11-30 16:33:43.1568275,0,Самогон,1,13701,,,
846,рецепт самогона дрожжи,2022-11-30 16:33:43.1568275,0,Самогон,1,13431,,,
847,хороший домашний самогон,2022-11-30 16:33:43.1568275,0,Самогон,1,12977,,,
848,рецепты настоек на самогоне в домашних,2022-11-30 16:33:43.1568275,0,Самогон,1,12751,,,
849,самогон 1,2022-11-30 16:33:43.1568275,0,Самогон,1,12665,,,
850,самогон первого,2022-11-30 16:33:43.1568275,0,Самогон,1,12532,,,
851,первый самогон,2022-11-30 16:33:43.157824,0,Самогон,1,12532,,,
852,приготовление самогона в домашних,2022-11-30 16:33:43.157824,0,Самогон,1,12177,,,
853,почему самогон,2022-11-30 16:33:43.1588233,0,Самогон,1,12097,,,
854,рецепты настоек на самогоне в домашних условиях,2022-11-30 16:33:43.1588233,0,Самогон,1,12001,,,
855,самогон 40,2022-11-30 16:33:43.1588233,0,Самогон,1,12001,,,
856,таблица самогона,2022-11-30 16:33:43.1588233,0,Самогон,1,11851,,,
857,самогон и водка,2022-11-30 16:33:43.1588233,0,Самогон,1,11778,,,
858,коньяк из самогона в домашних условиях,2022-11-30 16:33:43.1588233,0,Самогон,1,11632,,,
859,хороший самогон в домашних условиях,2022-11-30 16:33:43.1588233,0,Самогон,1,11590,,,
860,самогон на орехах,2022-11-30 16:33:43.1588233,0,Самогон,1,11581,,,
861,брага из сахара и дрожжей для самогона,2022-11-30 16:33:43.159819,0,Самогон,1,11526,,,
862,самогон домашнего приготовления рецепты,2022-11-30 16:33:43.159819,0,Самогон,1,11358,,,
863,рецепт коньяка из самогона,2022-11-30 16:33:43.159819,0,Самогон,1,11315,,,
864,дрожжи на брагу для самогона,2022-11-30 16:33:43.159819,0,Самогон,1,11306,,,
865,магазин самогон,2022-11-30 16:33:43.159819,0,Самогон,1,11254,,,
866,домашний самогон лучшие рецепты,2022-11-30 16:33:43.159819,0,Самогон,1,11202,,,
867,приготовление самогона в домашних условиях,2022-11-30 16:33:43.159819,0,Самогон,1,11132,,,
868,вода для самогона,2022-11-30 16:33:43.159819,0,Самогон,1,10906,,,
869,уголь для самогона,2022-11-30 16:33:43.1608216,0,Самогон,1,10904,,,
870,сколько нужно самогона,2022-11-30 16:33:43.1608216,0,Самогон,1,10421,,,
871,как разбавить самогон,2022-11-30 16:33:43.1608216,0,Самогон,1,10324,,,
872,рецепт приготовления самогона в домашних условиях,2022-11-30 16:33:43.1608216,0,Самогон,1,10063,,,
873,самогон в домашних условиях лучшие рецепты,2022-11-30 16:33:43.1608216,0,Самогон,1,10022,,,
874,самогон из винограда,2022-11-30 16:33:43.1608216,0,Самогон,1,10020,,,
173,калькулятор разбавления самогона,2020-10-30 16:36:51.8084615,0,калькулятор разбавления самогона водой,5,9857,677,632,1.19
875,как сделать самогон в домашних,2022-11-30 16:33:43.1608216,0,Самогон,1,9854,,,
876,калькулятор самогонщика разбавление самогона водой,2022-11-30 16:33:43.1618151,0,Самогон,1,9726,,,
877,вкус самогона,2022-11-30 16:33:43.1618151,0,Самогон,1,9426,,,
878,бочка для самогона,2022-11-30 16:33:43.1618151,0,Самогон,1,9229,,,
879,как сделать самогон в домашних условиях,2022-11-30 16:33:43.1618151,0,Самогон,1,9180,,,
880,приготовление настоек самогона,2022-11-30 16:33:43.1638104,0,Самогон,1,9138,,,
881,самогон второго перегона,2022-11-30 16:33:43.1638104,0,Самогон,1,9119,,,
882,второй перегон самогона,2022-11-30 16:33:43.1638104,0,Самогон,1,9119,,,
883,банка самогона,2022-11-30 16:34:46.0816034,0,Самогон,1,8970,,,
884,самогон просто,2022-11-30 16:34:46.0835982,0,Самогон,1,8786,,,
885,3 литра самогона,2022-11-30 16:34:46.0835982,0,Самогон,1,8746,,,
886,самогон рецепты приготовления настоек,2022-11-30 16:34:46.0835982,0,Самогон,1,8740,,,
128,калькулятор самогонщика разбавление,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,5,8730,1811,1808,1.62
887,самогон 2,2022-11-30 16:34:46.0845829,0,Самогон,1,8621,,,
888,как приготовить самогон,2022-11-30 16:34:46.0845829,0,Самогон,1,8507,,,
889,самогон сахар на литр,2022-11-30 16:34:46.0845829,0,Самогон,1,8465,,,
890,самогон отзывы,2022-11-30 16:34:46.0845829,0,Самогон,1,8461,,,
891,самогон на орешках,2022-11-30 16:34:46.0845829,0,Самогон,1,8392,,,
892,самогон самому,2022-11-30 16:34:46.0845829,0,Самогон,1,8345,,,
893,как гнать самогон,2022-11-30 16:34:46.0845829,0,Самогон,1,8303,,,
894,самогон на кедровых орешках,2022-11-30 16:34:46.0845829,0,Самогон,1,8201,,,
895,очистка самогона кокосовым,2022-11-30 16:34:46.0845829,0,Самогон,1,8166,,,
896,самогон на грецких,2022-11-30 16:34:46.0855801,0,Самогон,1,8138,,,
897,самогон после второй перегонки,2022-11-30 16:34:46.0855801,0,Самогон,1,8138,,,
898,самогон видео,2022-11-30 16:34:46.0855801,0,Самогон,1,8137,,,
899,очистка самогона кокосовым углем,2022-11-30 16:34:46.0855801,0,Самогон,1,8046,,,
