Id,KeyText,AddedOn,IsChecked,GroupName,BaseFrequency,QuoteFrequency,QuotePointFrequency
120,калькулятор самогонщика,2020-10-30 16:33:04.9705886,0,Главная,115772,71215,71143
121,калькулятор самогонщика онлайн,2020-10-30 16:33:04.9735809,0,Главная,27127,19815,19781
670,калькулятор спирта,2020-10-30 16:39:24.8309692,0,калькулятор абсолютного спирта,18787,1729,1647
126,калькулятор самогона,2020-10-30 16:36:51.8064683,0,Главная,18710,506,450
173,калькулятор разбавления самогона,2020-10-30 16:36:51.8084615,0,калькулятор разбавления самогона водой,9857,677,632
128,калькулятор самогонщика разбавление,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,8730,1811,1808
174,калькулятор разбавления самогона водой,2020-10-30 16:36:51.8084615,0,калькулятор разбавления самогона водой,8034,1029,574
1,самогон калькулятор самогонщика,2020-10-30 16:33:04.9745799,0,Все,6889,34,33
2,калькулятор самогонщика расчет,2020-10-30 16:33:04.9745799,0,Все,5870,240,235
129,калькулятор самогонщика разбавление самогона,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,5834,648,648
236,калькулятор разбавления спирта,2020-10-30 16:39:24.8339337,0,калькулятор разбавления самогона водой,5654,1261,1162
130,калькулятор самогонщика разбавление водой,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,5641,29,27
131,калькулятор самогонщика разбавление самогона водой,2020-10-30 16:33:04.9745799,0,калькулятор разбавления самогона водой,5166,2712,2712
122,калькулятор самогонщика онлайн расчет,2020-10-30 16:33:04.9745799,0,Главная,5000,2856,2856
175,разбавить самогон калькулятор,2020-10-30 16:36:51.8084615,0,калькулятор разбавления самогона водой,4065,475,468
237,калькулятор разбавления спирта водой,2020-10-30 16:39:24.8339337,0,калькулятор разбавления самогона водой,3929,2078,1551
64,калькулятор самогона онлайн,2020-10-30 16:36:51.8084615,0,Все,3486,96,82
672,калькулятор спирта онлайн,2020-10-30 16:39:24.8339337,0,калькулятор разбавления самогона водой,3002,196,175
383,калькулятор самогонщика перегонка,2020-10-30 16:33:04.9745799,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),2976,0,0
176,разбавить самогон водой калькулятор,2020-10-30 16:36:51.8094591,0,калькулятор разбавления самогона водой,2973,444,419
404,перегонка самогона калькулятор,2020-10-30 16:36:51.8094591,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),2723,1,0
384,калькулятор самогонщика вторая перегонка,2020-10-30 16:33:04.9745799,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),2447,31,24
405,калькулятор второй перегонки самогона,2020-10-30 16:36:51.8094591,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),2264,40,38
238,разбавить спирт калькулятор,2020-10-30 16:39:24.8349315,0,калькулятор разбавления самогона водой,2117,206,202
177,онлайн калькулятор разбавления самогона,2020-10-30 16:36:51.8094591,0,калькулятор разбавления самогона водой,1955,163,158
239,калькулятор онлайн спирт вода,2020-10-30 16:39:24.8349315,0,калькулятор разбавления самогона водой,1912,24,24
439,калькулятор самогонщика русская,2020-10-30 16:33:04.9745799,0,конкуренты,1773,4,4
240,калькулятор спирта для разведения,2020-10-30 16:39:24.8349315,0,калькулятор разбавления самогона водой,1764,558,558
178,калькулятор разбавления самогона водой онлайн,2020-10-30 16:36:51.8094591,0,калькулятор разбавления самогона водой,1729,646,456
65,калькулятор градусов самогона,2020-10-30 16:36:51.8094591,0,Все,1566,8,6
132,калькулятор онлайн самогонщика разбавить,2020-10-30 16:33:04.9755768,0,калькулятор разбавления самогона водой,1552,15,15
133,калькулятор самогонщика онлайн расчет разбавить,2020-10-30 16:33:04.9755768,0,калькулятор разбавления самогона водой,1518,289,289
327,калькулятор голов самогонщика,2020-10-30 16:33:04.9755768,0,калькулятор самогонщика отбор голов,1505,27,12
241,разбавить спирт водой калькулятор,2020-10-30 16:39:24.8359287,0,калькулятор разбавления самогона водой,1319,443,421
657,таблица разбавить самогон калькулятор,2020-10-30 16:36:51.8094591,0,таблица разбавления самогона водой калькулятор,1292,3,3
578,разбавить самогон до 40 калькулятор,2020-10-30 16:36:51.8094591,0,калькулятор водки из спирта,1195,13,13
88,калькулятор градусов спирта,2020-10-30 16:39:24.8359287,0,Все,1190,11,10
242,калькулятор спирта для разведения водой,2020-10-30 16:39:24.8359287,0,калькулятор разбавления самогона водой,1163,488,486
648,как разбавить самогон водой таблица калькулятор,2020-10-30 16:36:51.8094591,0,таблица разбавления самогона водой калькулятор,1148,8,8
134,калькулятор самогонщика онлайн разбавление,2020-10-30 16:33:04.9755768,0,калькулятор разбавления самогона водой,1140,384,384
572,как разбавить самогон водой до 40 калькулятор,2020-10-30 16:36:51.8094591,0,калькулятор водки из спирта,1115,46,46
575,как разбавить самогон до 40 градусов калькулятор,2020-10-30 16:36:51.8104563,0,калькулятор водки из спирта,1089,22,22
385,калькулятор самогонщика онлайн вторая,2020-10-30 16:33:04.9755768,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),1082,11,11
662,развести спирт калькулятор,2020-10-30 16:39:24.8359287,0,калькулятор самогонщика разбавление самогона водой после второй,1075,159,150
600,калькулятор самогонщика после второй перегонки,2020-10-30 16:33:04.9755768,1,калькулятор самогонщика разбавление самогона водой после второй,1074,0,0
416,калькулятор спирта сырца,2020-10-30 16:39:24.8359287,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),1060,37,33
582,разбавить самогон водой до 40 градусов калькулятор,2020-10-30 16:36:51.8104563,0,калькулятор водки из спирта,1059,7,7
602,калькулятор самогонщика разбавление самогона водой после второй,2020-10-30 16:33:04.9755768,0,калькулятор самогонщика разбавление самогона водой после второй,1053,118,118
386,калькулятор самогонщика онлайн вторая перегонка,2020-10-30 16:33:04.9755768,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),1026,163,163
66,расчет самогона калькулятор,2020-10-30 16:36:51.8104563,0,Все,1015,39,32
3,калькулятор самогонщика бесплатно,2020-10-30 16:33:04.9755768,0,Все,961,10,7
243,онлайн калькулятор разбавления спирта,2020-10-30 16:39:24.8359287,0,калькулятор разбавления самогона водой,961,87,66
181,калькулятор разбавления самогона водой после второй перегонки,2020-10-30 16:36:51.8104563,0,калькулятор разбавления самогона водой,958,7,7
328,калькулятор голов и хвостов самогонщика,2020-10-30 16:33:04.9755768,0,калькулятор самогонщика отбор голов,927,252,217
678,калькулятор расчета спирта,2020-10-30 16:39:24.8359287,0,калькулятор абсолютного спирта,924,18,16
135,калькулятор самогонщика онлайн расчет воды,2020-10-30 16:33:04.9755768,0,калькулятор разбавления самогона водой,881,1,1
136,калькулятор самогонщика онлайн расчет разбавить водой,2020-10-30 16:33:04.9755768,0,калькулятор разбавления самогона водой,879,31,31
244,калькулятор разбавления спирта водой онлайн,2020-10-30 16:39:24.8369254,0,калькулятор разбавления самогона водой,850,445,378
182,разбавить самогон водой калькулятор онлайн,2020-10-30 16:36:51.8104563,0,калькулятор разбавления самогона водой,836,123,123
137,калькулятор самогонщика разбавить самогон,2020-10-30 16:33:04.9765734,0,калькулятор разбавления самогона водой,813,10,10
67,онлайн калькулятор расчета самогона,2020-10-30 16:36:51.8104563,0,Все,727,1,1
417,калькулятор перегонки спирта,2020-10-30 16:39:24.8369254,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),719,7,7
138,калькулятор самогонщика онлайн разбавление водой,2020-10-30 16:33:04.9765734,0,калькулятор разбавления самогона водой,704,16,16
139,калькулятор онлайн самогонщика разбавить самогон,2020-10-30 16:33:04.9765734,0,калькулятор разбавления самогона водой,693,5,5
183,разбавить самогон калькулятор онлайн расчет,2020-10-30 16:36:51.8104563,0,калькулятор разбавления самогона водой,690,1,1
4,самогон калькулятор самогонщика онлайн расчет,2020-10-30 16:33:04.9765734,0,Все,688,6,6
245,разведение спирта калькулятор онлайн,2020-10-30 16:39:24.8369254,0,калькулятор разбавления самогона водой,687,57,15
140,калькулятор самогонщика онлайн расчет разбавить самогон,2020-10-30 16:33:04.9765734,0,калькулятор разбавления самогона водой,676,139,139
141,калькулятор самогонщика онлайн разбавление самогона,2020-10-30 16:33:04.9765734,0,калькулятор разбавления самогона водой,649,39,39
617,калькулятор разбавления самогона для второй перегонки,2020-10-30 16:36:51.8104563,1,калькулятор самогонщика разбавление самогона водой после первой,643,4,4
246,разбавить спирт калькулятор онлайн,2020-10-30 16:39:24.8369254,0,калькулятор разбавления самогона водой,642,23,22
418,калькулятор перегонки спирта сырца,2020-10-30 16:39:24.8369254,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),616,29,27
614,калькулятор разбавления самогона водой для второй перегонки,2020-10-30 16:36:51.8104563,1,калькулятор самогонщика разбавление самогона водой после первой,615,23,19
142,калькулятор самогонщика разбавление самогона водой онлайн,2020-10-30 16:33:04.9765734,0,калькулятор разбавления самогона водой,610,248,248
387,калькулятор самогонщика отбор,2020-10-30 16:33:04.9765734,0,Калькулятор дробной перегонки спирта-сырца: (вторая перегонка),607,1,1
329,калькулятор самогонщика отбор голов,2020-10-30 16:33:04.9765734,0,калькулятор самогонщика отбор голов,594,240,236
618,калькулятор самогонщика разбавление для второй перегонки,2020-10-30 16:33:04.9765734,1,калькулятор самогонщика разбавление самогона водой после первой,593,1,1
612,калькулятор самогонщика разбавление самогона водой для второй,2020-10-30 16:33:04.9765734,1,калькулятор самогонщика разбавление самогона водой после первой,584,24,24
613,разбавление самогона для второй перегонки калькулятор самогонщика,2020-10-30 16:33:04.9765734,1,калькулятор самогонщика разбавление самогона водой после первой,564,20,20
184,развести самогон водой калькулятор,2020-10-30 16:36:51.8114534,0,калькулятор разбавления самогона водой,562,259,241
91,калькулятор спирта онлайн расчет,2020-10-30 16:39:24.8369254,0,Все,560,0,0
143,калькулятор онлайн самогонщика разбавить самогон водой,2020-10-30 16:33:04.9765734,0,калькулятор разбавления самогона водой,558,9,9
